,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
0,Adilabad,36,GEN,Andhra Pradesh,G. Narayan Reddy,Indian National Congress,404283,220383,54.5,89085,40.4,1962
1,Adoni,27,GEN,Andhra Pradesh,Pendekanti Venkatasubbaiah,Indian National Congress,419077,252379,60.2,33022,13.1,1962
2,Agra,433,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,433164,275663,63.6,54351,19.7,1962
3,Ahmedabad,120,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Nutan Maha Gujarat Janta Parisha,433392,270346,62.4,21592,8.0,1962
4,Ahmednagar,245,GEN,Maharashtra,Motilal Kundanmal Firodya,Indian National Congress,403913,222091,55.0,14038,6.3,1962
5,Ajmer,346,GEN,Rajasthan,Mukatbehari Lal,Indian National Congress,432778,241488,55.8,32143,13.3,1962
6,Akbarpur,386,SC,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,430435,216781,50.4,45246,20.9,1962
7,Akola,254,GEN,Maharashtra,Mohammad Mohibbul Haq Mohammad Anwarul Haqm,Indian National Congress,450141,303530,67.4,47169,15.5,1962
8,Aligarh,436,GEN,Uttar Pradesh [1947 - 1999],B. P. Maurya,Republican Party,466414,255696,54.8,3025,1.2,1962
9,Allahabad,416,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur Shastri,Indian National Congress,446090,245210,55.0,68533,27.9,1962
10,Almora,362,GEN,Uttar Pradesh [1947 - 1999],Jang Bahadur Singh,Indian National Congress,401359,109588,27.3,26998,24.6,1962
11,Alwar,342,GEN,Rajasthan,Kashi Ram,Independent,451563,283094,62.7,23116,8.2,1962
12,Amalapruam,9,SC,Andhra Pradesh,Bayya Suryanarayana Murthy,Indian National Congress,478247,336739,70.4,12570,3.7,1962
13,Ambala,318,SC,Punjab,Chuni Lal,Indian National Congress,439952,271449,61.7,35834,13.2,1962
14,Ambalapuzha,143,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,445802,334846,75.1,11233,3.4,1962
15,Amravati,255,GEN,Maharashtra,Panjabrao Shamrao Deshmukh,Indian National Congress,475329,349649,73.6,60372,17.3,1962
16,Amreli,114,GEN,Gujarat,Jayaben Vajubhai Shah,Indian National Congress,418212,226282,54.1,65018,28.7,1962
17,Amritsar,332,GEN,Punjab,Gurmukh Singh,Indian National Congress,457869,322823,70.5,14416,4.5,1962
18,Amroha,365,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,423038,235491,55.7,17192,7.3,1962
19,Anakapalli,5,GEN,Andhra Pradesh,Missula Suryanarayanamurthy,Indian National Congress,427862,265407,62.0,16010,6.0,1962
20,Anand,122,GEN,Gujarat,Kumar Narendrasinh Ranjitsinh Mahida,Swatantra,472873,326364,69.0,22729,7.0,1962
21,Anantpur,25,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,467475,301105,64.4,24868,8.3,1962
23,Aruppukkottai,220,GEN,Madras,U. Muthu Ramalinga Thevar,Forward Block,496604,350870,70.7,19853,5.7,1962
24,Asansol,477,GEN,West Bengal,Atulya Ghosh,Indian National Congress,454700,188992,41.6,8844,4.7,1962
25,Aurangabad,95,GEN,Bihar [1947 - 1999],Lalita Rajya Laxmi,Swatantra,409761,171300,41.8,9761,5.7,1962
26,Aurangabad,269,GEN,Maharashtra,Bhaurao Dagdurao Deshmukh,Indian National Congress,455034,229660,50.5,68350,29.8,1962
27,Ausgram,478,SC,West Bengal,Mono Mohan Das,Indian National Congress,498990,233065,46.7,23689,10.2,1962
28,Autonomous Districts,46,ST,Assam,Gilbert G. Swell,Hill Leaders Conference,320132,153235,47.9,35149,22.9,1962
29,Azamgarh,403,GEN,Uttar Pradesh [1947 - 1999],Ram Harkh,Indian National Congress,437772,220038,50.3,11396,5.2,1962
30,Badagara,133,GEN,Kerala,A. V. Raghavan,Independent,463498,343312,74.1,72907,21.2,1962
31,Bagaha,56,GEN,Bihar [1947 - 1999],Kamal Nath Tewari,Indian National Congress,385005,188598,49.0,17174,9.1,1962
32,Bahraich,391,GEN,Uttar Pradesh [1947 - 1999],Kunwar Ram Singh,Swatantra,443936,173376,39.1,2225,1.3,1962
33,Balaghat,168,GEN,Madhya Pradesh [1947 - 1999],Bholaram Ramaji,Praja Socialist Party,415891,187906,45.2,2892,1.5,1962
34,Balasore,314,GEN,Orissa,Gokulananda Mahanty,Indian National Congress,426296,158368,37.2,29559,18.7,1962
35,Ballia,406,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar,Indian National Congress,425638,219215,51.5,35793,16.3,1962
36,Baloda Bazar,162,SC,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,427546,135792,31.8,33006,24.3,1962
37,Balrampur,392,GEN,Uttar Pradesh [1947 - 1999],Subhadra Joshi,Indian National Congress,466671,244330,52.4,2052,0.8,1962
38,Balurghat,450,ST,West Bengal,Sarkar Murmu,Communist Party Of India,476197,275027,57.8,9820,3.6,1962
39,Banaskantha,116,GEN,Gujarat,Joharaben Akabarbhai Chavada,Indian National Congress,441054,207282,47.0,54956,26.5,1962
40,Banda,419,GEN,Uttar Pradesh [1947 - 1999],Savitri Nigam,Indian National Congress,420121,131262,31.2,13681,10.4,1962
41,Bangalore City,291,GEN,Mysore,K. Hanumanthaiah,Indian National Congress,392753,219276,55.8,60539,27.6,1962
42,Banglore,292,GEN,Mysore,H. C. Dasappa,Indian National Congress,424993,290091,68.3,24403,8.4,1962
43,Banka,82,GEN,Bihar [1947 - 1999],Shakuntala Devi,Indian National Congress,412008,164957,40.0,37394,22.7,1962
44,Bankura,476,GEN,West Bengal,Ramgati Bandopadhyay,Indian National Congress,453776,151859,33.5,27444,18.1,1962
45,Bansgaon,397,SC,Uttar Pradesh [1947 - 1999],Mahadeo Prasad,Indian National Congress,449091,181054,40.3,49050,27.1,1962
46,Bansi,396,SC,Uttar Pradesh [1947 - 1999],Sheo Narain,Indian National Congress,398156,195944,49.2,52755,26.9,1962
47,Banswara,349,ST,Rajasthan,Ratan Lal,Indian National Congress,444026,264923,59.7,21174,8.0,1962
48,Bara Banki,389,GEN,Uttar Pradesh [1947 - 1999],Ram Sewak Yadav,Socialist,432123,233201,54.0,321,0.1,1962
49,Baramati,234,GEN,Maharashtra,Gulab Keshav Jedhe,Indian National Congress,394076,202813,51.5,61587,30.4,1962
50,Barasat,455,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,647008,385859,59.6,46803,12.1,1962
51,Bareilly,370,GEN,Uttar Pradesh [1947 - 1999],Brijraj Singh,Jan Sangh,386337,195937,50.7,11350,5.8,1962
52,Barh,89,GEN,Bihar [1947 - 1999],Tarkeshwari Sinha,Indian National Congress,377162,191615,50.8,38221,19.9,1962
53,Barmer,355,GEN,Rajasthan,Tan Singh,Akhil Bharatiya Ram Rajya Parishad,517490,202535,39.1,17711,8.7,1962
54,Baroda,126,GEN,Gujarat,Shrimant Maharaja Fatehsinhrao Pratapsinhrao Gaekwad,Indian National Congress,446026,273079,61.2,143972,52.7,1962
55,Barpeta,50,GEN,Assam,Renuka Devi Barkataki,Indian National Congress,450184,232351,51.6,22591,9.7,1962
56,Barrackpore,456,GEN,West Bengal,Renu Chakraborty,Communist Party Of India,587830,404181,68.8,94424,23.4,1962
57,Basirhat,457,GEN,West Bengal,Humayun Kabir,Indian National Congress,519902,322678,62.1,54059,16.8,1962
58,Bastar,165,ST,Madhya Pradesh [1947 - 1999],Lakhmu Bhawani,Independent,421440,218854,51.9,26209,12.0,1962
59,Basti,394,GEN,Uttar Pradesh [1947 - 1999],Keshava Deva Malaviya,Indian National Congress,414207,215609,52.1,18921,8.8,1962
60,Begusarai,87,GEN,Bihar [1947 - 1999],Mathura Prasad Mishra,Indian National Congress,404740,216821,53.6,54720,25.2,1962
61,Belgaum,275,GEN,Mysore,Balavantrao Nagesharao Datar,Indian National Congress,421032,272951,64.8,18077,6.6,1962
62,Bellary,281,GEN,Mysore,T. Subramanyam,Indian National Congress,481935,299787,62.2,11317,3.8,1962
63,Berhampur,453,GEN,West Bengal,Tridib Kumar Chaudhuri,Revolutionary Socialist Party,533222,300297,56.3,27489,9.2,1962
64,Bettiah,58,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,380043,145637,38.3,41790,28.7,1962
65,Bhadrak,313,SC,Orissa,Kanhu Charan Jena,Indian National Congress,482279,130783,27.1,48297,36.9,1962
66,Bhagalpur,83,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,436725,212747,48.7,61129,28.7,1962
67,Bhandara,258,GEN,Maharashtra,Ramchandra Martand Harjarnavis,Indian National Congress,439103,285916,65.1,39949,14.0,1962
68,Bhanjanagar,299,SC,Orissa,Mohan Nayak,Indian National Congress,403922,48650,12.0,34124,70.1,1962
69,Bharatpur,343,GEN,Rajasthan,Raj Bahadur,Indian National Congress,467434,290787,62.2,11891,4.1,1962
70,Bhatinda,326,SC,Punjab,Dhanna Singh,Akali Dal,483721,322843,66.7,58021,18.0,1962
71,Bhavnagar,115,GEN,Gujarat,Jashvantrai Nanubhai Mehta,Praja Socialist Party,448886,211500,47.1,9874,4.7,1962
72,Bhilwara,352,GEN,Rajasthan,Kalu Lal Shrimali,Indian National Congress,456499,170723,37.4,42170,24.7,1962
73,Bhind,149,SC,Madhya Pradesh [1947 - 1999],Suraj Prasad Alias Surya Prashad,Indian National Congress,467201,238495,51.1,2787,1.2,1962
74,Bhir,266,GEN,Maharashtra,Dwarkadasji Motilalji,Indian National Congress,435591,180582,41.5,20529,11.4,1962
75,Bhiwandi,231,ST,Maharashtra,Shrimant Maharaj Saheb Yashwantro Martanrao Mukane,Indian National Congress,416369,239968,57.6,39674,16.5,1962
76,Bhopal,176,GEN,Madhya Pradesh [1947 - 1999],Maimoona Sultan,Indian National Congress,507527,236088,46.5,19306,8.2,1962
77,Bhubaneswar,309,GEN,Orissa,Raja Purna Chandra Deo Bhanj,Indian National Congress,454994,135778,29.8,37494,27.6,1962
78,Bidar,270,SC,Mysore,Ramachander Veerappa,Indian National Congress,416621,195447,46.9,54302,27.8,1962
79,Bijapur North,272,GEN,Mysore,Rajaram Giridharalal Dubey,Indian National Congress,393246,200408,51.0,41996,21.0,1962
80,Bijapur South,273,GEN,Mysore,Sanganagouda Basanagouda Patil,Indian National Congress,430246,268395,62.4,121029,45.1,1962
81,Bijnor,364,GEN,Uttar Pradesh [1947 - 1999],Prakash Vir Shastri,Independent,400418,269931,67.4,49193,18.2,1962
82,Bikaner,357,GEN,Rajasthan,Karni Singh,Independent,468948,260370,55.5,115067,44.2,1962
83,Bikramganj,93,GEN,Bihar [1947 - 1999],Ram Subhag Singh,Indian National Congress,423247,235421,55.6,10664,4.5,1962
84,Bilaspur,161,GEN,Madhya Pradesh [1947 - 1999],Satya Prakash,Independent,439048,162780,37.1,2171,1.3,1962
85,Bilhaur,425,GEN,Uttar Pradesh [1947 - 1999],Brij Behari Mehrotra,Indian National Congress,447601,228694,51.1,5866,2.6,1962
86,Birbhum,481,SC,West Bengal,Sisir Kumar Saha,Indian National Congress,472551,180916,38.3,32404,17.9,1962
87,Bisauli,368,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,395128,198322,50.2,17163,8.7,1962
88,Bolangir,302,SC,Orissa,Mahanand Hrushikesh,Ganatantra Parishad,420780,92662,22.0,18019,19.4,1962
89,Bombay City Central North,228,SC,Maharashtra,Narayan Sadoba Kajrolkar,Indian National Congress,505136,317126,62.8,54144,17.1,1962
90,Bombay City Central South,227,GEN,Maharashtra,Vithal Balkrishna Gandhi,Indian National Congress,504610,309456,61.3,38578,12.5,1962
91,Bombay City North,229,GEN,Maharashtra,V. K. Krishna Menon,Indian National Congress,764016,483190,63.2,145358,30.1,1962
92,Bombay City South,226,GEN,Maharashtra,Sadashiv Kanoji Patil,Indian National Congress,423466,247339,58.4,100627,40.7,1962
93,Broach,127,GEN,Gujarat,Chhotubhai Makanbhai Patel,Indian National Congress,429499,293564,68.4,28037,9.6,1962
94,Budaun,369,GEN,Uttar Pradesh [1947 - 1999],Omkar Singh,Jan Sangh,404385,223283,55.2,16785,7.5,1962
95,Bulandsahar,438,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Singh,Indian National Congress,429674,257956,60.0,16954,6.6,1962
96,Buldana,252,GEN,Maharashtra,Shivaram Rango Rane,Indian National Congress,428466,301310,70.3,82179,27.3,1962
97,Bulsar,130,ST,Gujarat,Nanubhai Nichhabhai Patel,Indian National Congress,471481,304863,64.7,3659,1.2,1962
98,Burdwan,479,GEN,West Bengal,Gurugobinda Basu,Indian National Congress,534273,287685,53.9,32470,11.3,1962
99,Buxar,92,GEN,Bihar [1947 - 1999],Anant Prasad Sharma,Indian National Congress,453468,234087,51.6,5516,2.4,1962
